username, created_at, lng, lat, text
MekiaLong, Fri Jan 22 23:53:49 +0000 2021, -92.436774, 38.304558, Well it’s officially fuck everybody. Fuck family and all going MIA no social media no phone or nothing ✌️ 
tmj_ma_adv, Fri Jan 22 23:53:49 +0000 2021, -71.058880, 42.360082, Nervous to apply for a job like "Sr. Product Manager, Asymptomatic Testing Solutions" at Thermo Fisher Scientific?… https://t.co/24hWknXooE 
totalteenbean, Fri Jan 22 23:53:49 +0000 2021, -84.433106, 33.767195, Alright these people are tryna tell me I look like Queen @halsey ... what y’all think ??? https://t.co/UdxKzEXprS 
mathers_georgia, Fri Jan 22 23:53:49 +0000 2021, -119.827182, 39.512436, Mom just got first Pfizer Covid vaccine. Second dose in three weeks. Over the moon for her. I’m not eligible yet but will take asap. 
awesternrescue, Fri Jan 22 23:53:49 +0000 2021, -81.112426, 40.917659, @MaroftheBooks @sarcasmlemons Haha 
guardia72014383, Fri Jan 22 23:53:49 +0000 2021, -94.377590, 44.883311, @kylegriffin1 @MSNBC Follow the money 💰 it will lead to the ring leadership 
ravenreyes17, Fri Jan 22 23:53:49 +0000 2021, -100.076888, 31.168893, niggas be likin bitches pictures with they ass all out n shii but den when you do it they mad asdf , baby im doin what shii you be likin 🥱🥱 
tiyahnaaaaa, Fri Jan 22 23:53:49 +0000 2021, -84.433106, 33.767195, @bossmaynelaiyah 😂 
planspark, Fri Jan 22 23:53:49 +0000 2021, -121.865874, 37.266818, I'm at Trinethra Indian Supermarket in San Jose, CA https://t.co/CxVNymvrLr 
LettyCarrillo_, Fri Jan 22 23:53:49 +0000 2021, -73.595206, 40.786978, @Fernando__14 Que la vida es una rueda que da mil vueltas al final nada queda 🤗 
bubbaprog, Fri Jan 22 23:53:49 +0000 2021, -82.442694, 27.996595, @Not_Pedro_ Right imagine what I do is a gigantic TiVo 
realh0rrorshow, Fri Jan 22 23:53:49 +0000 2021, -71.594073, 42.393067, 🔥 🔥 @teasebysamijo continues to blow my mind with her insane talent. Thank you so much for restoring my inner Penny… https://t.co/T8pcoZOfmY 
Isaachimmelman, Fri Jan 22 23:53:49 +0000 2021, -73.948775, 40.655138, Father + son book club 2021. 
BigBootyJudyDD, Fri Jan 22 23:53:49 +0000 2021, -158.026022, 21.362712, @ShesAllMatt Dem gutters tho 😳😜😎😉 
Angelinoo, Fri Jan 22 23:53:49 +0000 2021, -78.657837, 35.843981, @DoctorJonPaul 😂😂😂 
tmj_sat_transp, Fri Jan 22 23:53:49 +0000 2021, -98.493628, 29.424122, Fresenius Medical Care is looking for teammates like you. See our latest #Transportation job openings, including "D… https://t.co/7JrarskQgj 
shawn_anand, Fri Jan 22 23:53:49 +0000 2021, -88.151832, 42.072284, @DonaldJTrumpJr What we now have to worry about and this goes for every American that voted for @JoeBiden, which wa… https://t.co/YEmrvrsNtc 
MrDomagalski, Fri Jan 22 23:53:49 +0000 2021, -82.496676, 42.832605, Thanks to https://t.co/qXwbvLnYp0 (Everything Blue Water TV) for spotlighting our Chili-Heart Virtual 5K run / 2mil… https://t.co/dUOnZAQOkf 
reesesavoie, Fri Jan 22 23:53:50 +0000 2021, -117.104989, 32.810012, @Heather_Barette @ambersalass @KyleBBetz @devinwhatley @atolent2 @TheDanGuerrero @dantalkssports @jennaameyer… https://t.co/1BR2FM17Gx 
kari_c00per, Fri Jan 22 23:53:50 +0000 2021, -94.885179, 47.486299, @tbobrowsky Sorry, just got excited! 
LaneCareers, Fri Jan 22 23:53:50 +0000 2021, -117.650888, 34.063344, See our latest #Ontario, CA job and click to apply: Construction Manager - https://t.co/qE0Y9p3xFJ #ConstructionJobs 
Kortni_Renee_96, Fri Jan 22 23:53:50 +0000 2021, -83.804475, 27.698682, @Pswag10 I’d learn for you 😏 
zether, Fri Jan 22 23:53:50 +0000 2021, -77.587500, 39.968600, When you forgot to buy #crackers but your #grandson left you #goldfishies @ Scotland, Pennsylvania https://t.co/4YWuq1uQi8 
NeymaGallaga, Fri Jan 22 23:53:50 +0000 2021, -100.168717, 25.778679, Que pena, me puse un short con las piernas todas peludas como hombre lobo jajaja se que no debería darme pena que e… https://t.co/wFVcOj7Ado 
Joyman007, Fri Jan 22 23:53:50 +0000 2021, -74.006400, 40.714200, @iamcardib showing off her vocal Game and also WTF is u wearing #cardi 😂😂😂👸🏾🤷🏾🤷🏾🤷🏾🤷🏾✅😅😅#dailyhappeningz #offset… https://t.co/GFXHdHX6fc 
TechTeacherMorg, Fri Jan 22 23:53:50 +0000 2021, -95.508925, 29.574284, @thehomeedit A nooks and crannies episode. #junkdrawers Under the bed storage organization? Kids hair supply. #BlackGirlMagic 
test5geo1798, Fri Jan 22 23:53:50 +0000 2021, -122.398720, 37.781157, TEST_LAT/LON: 3e40a2eb-96b8-43c7-ac22-ff81db7594ff 
holmesrip2, Fri Jan 22 23:53:50 +0000 2021, -80.271087, 25.699448, @glennkirschner2 @eliehonig @FrankFigliuzzi1 @AriMelber @NicolleDWallace @ejeancarroll @LysandraO @MichaelCohen212… https://t.co/KKjmzAmDIz 
tmj_RAM_auto, Fri Jan 22 23:53:50 +0000 2021, -74.194728, 40.789039, Can you recommend anyone for this job? Automotive Service Technician - https://t.co/4MNnEy8guo #Automotive #Bloomfield, NJ 
shemarfrederick, Fri Jan 22 23:53:50 +0000 2021, -84.352444, 33.943457, @HarIemagne https://t.co/ExgPGolbuA 
KingInATL, Fri Jan 22 23:53:50 +0000 2021, -84.433106, 33.767195, Wassup ATL who trying link 😈😈 
barowsky_scott, Fri Jan 22 23:53:51 +0000 2021, -100.076888, 31.168893, @MWNN_329 Just crazy that adults don't realize the impact they are having on our children. 
Gregory99902922, Fri Jan 22 23:53:50 +0000 2021, -95.446486, 29.838495, @TheJML9999 @NatePhagret 😏😏😏😏😆😆🤣🤣😂😂😂 https://t.co/dH0nie3ATG 
Ericdane81, Fri Jan 22 23:53:51 +0000 2021, -80.263517, 26.124507, 😯 https://t.co/FW0YeSbNW5 
myaalexander12, Fri Jan 22 23:53:51 +0000 2021, -117.104989, 32.810012, @alonzolerone I died. The whole video. 
FoolieJiGG, Fri Jan 22 23:53:51 +0000 2021, -79.861034, 35.170499, Noooo 😂😂😂😂😂 
_jeylinn, Fri Jan 22 23:53:51 +0000 2021, -100.076888, 31.168893, should i get up and go to the gym after hw or sleep? 
wildbinks, Fri Jan 22 23:53:51 +0000 2021, -72.451172, 43.871757, Except for the civil war he tried to incite 😂😂 
csbutcher7696, Fri Jan 22 23:53:51 +0000 2021, -94.279122, 39.014860, @emceereach Solid 8 
knorthro, Fri Jan 22 23:53:52 +0000 2021, -122.435979, 37.770657, @DonaldJTrumpJr People who incite riots get banned. You need to detox 
osman_tagreed, Fri Jan 22 23:53:52 +0000 2021, -79.272570, 43.629311, في حاجة اسمها الأرزاق المنسية ..زي سكينة الرُوح، وصحة الجسد، دعوة الوالدين، ولقاء مُحب، وجود أخ، وضحكة طفل ، صديق… https://t.co/VMZoC0W4j9 
